session;Raw_Cluster;Macro_Cluster;k_aircraft;k_operator;k_mission
3134051;31;Cluster 3 (Mineur A);50440;83;1
3134064;37;Cluster 1 (Majeur A);46450;3;1
3134065;37;Cluster 1 (Majeur A);50826;3;1
3134066;39;Cluster 2 (Majeur B);45401;81;1
3134067;37;Cluster 1 (Majeur A);52523;83;1
3134113;37;Cluster 1 (Majeur A);41620;83;1
3134138;37;Cluster 1 (Majeur A);46875;112;1
3134139;37;Cluster 1 (Majeur A);46875;112;1
3134149;31;Cluster 3 (Mineur A);50440;83;1
3134195;39;Cluster 2 (Majeur B);52255;298;1
3134229;39;Cluster 2 (Majeur B);52255;298;1
3134436;14;Cluster 5 (Outliers);56585;12;3
3134437;39;Cluster 2 (Majeur B);56585;12;3
3134479;39;Cluster 2 (Majeur B);41624;81;1
3134525;39;Cluster 2 (Majeur B);48109;20;-2
3134527;37;Cluster 1 (Majeur A);41619;81;1
3134529;39;Cluster 2 (Majeur B);41559;81;1
3134538;37;Cluster 1 (Majeur A);54809;394;1
3134542;39;Cluster 2 (Majeur B);41623;161;1
3134584;37;Cluster 1 (Majeur A);41622;81;1
3134617;37;Cluster 1 (Majeur A);48112;10;1
3134632;39;Cluster 2 (Majeur B);54809;394;1
3134661;37;Cluster 1 (Majeur A);46829;3;1
3134662;39;Cluster 2 (Majeur B);52521;10;1
3134866;39;Cluster 2 (Majeur B);46852;20;-2
3134869;37;Cluster 1 (Majeur A);46851;81;1
3134895;39;Cluster 2 (Majeur B);48382;81;1
3134904;37;Cluster 1 (Majeur A);48117;10;1
3134934;39;Cluster 2 (Majeur B);41623;161;1
3135008;37;Cluster 1 (Majeur A);41620;83;1
3135038;31;Cluster 3 (Mineur A);48109;20;-2
3135041;37;Cluster 1 (Majeur A);52522;83;1
3135057;37;Cluster 1 (Majeur A);48112;10;1
3135058;39;Cluster 2 (Majeur B);48112;10;1
3135075;48;Cluster 5 (Outliers);52255;298;1
3135077;37;Cluster 1 (Majeur A);41619;81;1
3135082;37;Cluster 1 (Majeur A);52520;112;1
3135108;37;Cluster 1 (Majeur A);50826;3;1
3135109;37;Cluster 1 (Majeur A);50826;3;1
3135112;39;Cluster 2 (Majeur B);41622;81;1
3135114;26;Cluster 5 (Outliers);48382;81;1
3135198;37;Cluster 1 (Majeur A);46450;3;1
3135203;39;Cluster 2 (Majeur B);54811;83;1
3135205;42;Cluster 5 (Outliers);54811;83;1
3135261;37;Cluster 1 (Majeur A);46829;3;1
3135359;37;Cluster 1 (Majeur A);52522;83;1
3135360;36;Cluster 5 (Outliers);52520;112;1
3135429;39;Cluster 2 (Majeur B);48091;83;1
3135520;37;Cluster 1 (Majeur A);46450;3;1
3135524;37;Cluster 1 (Majeur A);52524;83;1
3135530;37;Cluster 1 (Majeur A);52523;83;1
3135532;4;Cluster 5 (Outliers);50440;83;1
3135560;22;Cluster 5 (Outliers);45401;81;1
3135782;39;Cluster 2 (Majeur B);56585;12;3
3135791;15;Cluster 5 (Outliers);46859;335;1
3135793;39;Cluster 2 (Majeur B);52255;298;1
3135794;39;Cluster 2 (Majeur B);52255;298;1
3135823;39;Cluster 2 (Majeur B);45344;20;-2
3135824;39;Cluster 2 (Majeur B);48380;20;-2
3135825;39;Cluster 2 (Majeur B);46896;20;-2
3135831;39;Cluster 2 (Majeur B);46896;20;-2
3135897;39;Cluster 2 (Majeur B);52255;298;1
3136052;39;Cluster 2 (Majeur B);46896;20;-2
3136054;39;Cluster 2 (Majeur B);48109;20;-2
3136055;37;Cluster 1 (Majeur A);41619;81;1
3136056;39;Cluster 2 (Majeur B);46851;81;1
3136062;39;Cluster 2 (Majeur B);48260;161;1
3136063;37;Cluster 1 (Majeur A);48260;161;1
3136075;37;Cluster 1 (Majeur A);46829;3;1
3136085;37;Cluster 1 (Majeur A);41619;81;1
3136086;39;Cluster 2 (Majeur B);41622;81;1
3136092;39;Cluster 2 (Majeur B);56585;12;3
3136109;37;Cluster 1 (Majeur A);41624;81;1
3136110;37;Cluster 1 (Majeur A);41624;81;1
3136142;37;Cluster 1 (Majeur A);50826;3;1
3136145;37;Cluster 1 (Majeur A);46874;10;1
3136176;37;Cluster 1 (Majeur A);52521;10;1
3136203;39;Cluster 2 (Majeur B);54809;394;1
3136206;39;Cluster 2 (Majeur B);41623;161;1
3136232;37;Cluster 1 (Majeur A);52519;3;1
3136302;37;Cluster 1 (Majeur A);46829;3;1
3136305;39;Cluster 2 (Majeur B);48380;20;-2
3136474;39;Cluster 2 (Majeur B);41623;161;1
3136475;37;Cluster 1 (Majeur A);50670;3;1
3136487;39;Cluster 2 (Majeur B);48260;161;1
3136495;37;Cluster 1 (Majeur A);41621;83;1
3136496;37;Cluster 1 (Majeur A);41622;81;1
3136497;37;Cluster 1 (Majeur A);41621;83;1
3136590;37;Cluster 1 (Majeur A);41559;81;1
3136591;37;Cluster 1 (Majeur A);41619;81;1
3136597;37;Cluster 1 (Majeur A);52520;112;1
3136624;39;Cluster 2 (Majeur B);50826;3;1
3136625;37;Cluster 1 (Majeur A);46829;3;1
3136629;37;Cluster 1 (Majeur A);46851;81;1
3136631;37;Cluster 1 (Majeur A);52522;83;1
3136632;37;Cluster 1 (Majeur A);52522;83;1
